PUMFID,HHLDSIZE,GENDER,TBC_05AR,TBC_05BR,TBC_10AR,TBC_10BR,TBC_15R,TBC_20R,TBC_25QR,TBC_30AR,TBC_30BR,TBC_30CR,TBC_30DR,TBC_30ER,TBC_30FR,TBC_30GR,TBC_35R,TBC_40R,TBC_41AR,TBC_41BR,TBC_41CR,TBC_45AR,TBC_45BR,TBC_45ER,TBC_45FR,TBC_45GR,TBC_50AR,TBC_50BR,TBC_50CR,TBC_50DR,TBC_50ER,TBC_50GR,TBC_55R,OTP_05A,OTP_05BR,OTP_05CR,OTP_05DR,OTP_05ER,VAP_05AR,VAP_05BR,VAP_10R,VAP_15AR,VAP_15BR,VAP_15CR,VAP_20R,VAP_21R,VAP_30R,VAP_35R,VAP_40AR,VAP_40BR,VAP_40CR,VAP_40DR,VAP_40ER,VAP_40FR,VAP_40GR,VAP_40HR,VAP_41AR,VAP_41BR,VAP_41CR,VAP_41DR,VAP_41ER,VAP_41FR,VAP_41GR,VAP_41HR,VAP_41IR,VAP_45R,VAP_60,CAN_05AR,CAN_05BR,CAN_10AR,CAN_10BR,CAN_15AR,CAN_15BR,CAN_17R,CAN_20AR,CAN_20BR,CAN_25AR,CAN_25BR,CAN_30AR,CAN_30BR,CAN_30CR,CAN_30DR,CAN_30ER,CAN_30FR,CAN_30GR,CAN_30HR,CAN_30IR,IU_05R,ALC_05,ALC_10,REFYEAR,REFMONTH,REFDAY,AGEGROUP,PROV_C,DV_SSR,DV_CN30R,DV_VP30R,DV_VC30R,DV_AL30R,FIRSTTRR,VERDATE,WTPP
50034,9,1,1,3,2,1,1,6,96,0,0,0,2,0,0,0,2,2,6,6,6,2,2,2,1,2,2,2,2,2,2,1,2,4,4,4,4,4,1,3,3,1,0,0,3,2,5,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,1,1,3,1,96,4,6,1,1,2,3,1,2,1,2,2,2,2,2,2,2,3,2,4,2020,12,8,2,12,1,1,1,1,1,3,07JUL2022,536.5714
50035,1,1,1,2,1,6,1,6,96,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,4,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,1,4,8,9999,99,99,6,35,1,2,2,2,2,1,07JUL2022,2970.7819
50036,3,1,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,2,4,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,1,2,8,9999,99,99,4,35,2,2,2,2,1,1,07JUL2022,7548.0657
50037,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,5,11,3,2,2,2,2,6,07JUL2022,687.2614
50038,4,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,1,6,0,0,7,3,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,7,1,3,4,96,6,6,6,1,2,4,6,2,1,2,2,2,2,2,2,2,3,4,7,2020,12,8,2,35,3,2,1,2,2,3,07JUL2022,2120.7272
50039,4,1,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,2,1,99,0,3,3,9,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,2,3,6,2020,12,8,1,24,3,2,1,2,1,2,07JUL2022,707.0427
50040,4,1,1,3,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,6,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,1,4,7,9999,99,99,5,24,2,2,2,2,2,1,07JUL2022,4906.7511
50041,4,2,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,4,4,96,6,6,6,1,3,4,6,2,1,2,2,2,2,2,2,2,2,2,6,2020,12,8,2,10,3,2,2,2,1,2,07JUL2022,306.457
50042,1,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,4,35,3,2,2,2,2,6,07JUL2022,4082.0905
50043,2,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,5,4,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,9999,99,99,7,24,3,2,2,2,1,3,07JUL2022,6001.5901
50044,5,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,5,46,3,2,2,2,2,6,07JUL2022,5376.8408
50045,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,3,4,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,7,2020,12,8,2,24,3,2,2,2,1,3,07JUL2022,741.8444
50046,4,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,7,2020,12,8,2,35,3,2,2,2,2,6,07JUL2022,1800.8447
50047,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,2,48,3,2,2,2,2,2,07JUL2022,931.8516
50048,3,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,6,35,3,2,2,2,2,6,07JUL2022,5471.1581
50049,3,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,3,4,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,2020,12,8,2,35,3,2,2,2,1,3,07JUL2022,2135.9315
50050,3,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,2020,12,8,1,47,3,2,2,2,1,6,07JUL2022,478.5741
50051,2,1,1,3,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,8,4,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,1,4,8,9999,99,99,6,47,2,2,2,2,2,1,07JUL2022,3313.7246
50052,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,1,24,3,2,2,2,2,6,07JUL2022,901.8107
